nsocio,codigopostaldomicilio,numeroclub,modalidad,categoria,discapacidad,numeroaccidentesaño,helicoptero,hospitalizacion,target,accidenteshistoricos,edad,temporada_federado,Actividad,Lugar,Provincia,TipoAccidente,DescripcionGrado,TamañoGrupo,NResponsables,Entrenamiento,ActividadPersonal,ActividadOrganizada,Festivo,año_accidente
29187,28240,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,55,2023,,,,,,,,,,,,
24489,28806,07.28.488,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,42,2021,Escalada alta montaña,,MADRID,Colisión con rocas,Leve,0.0,0.0,False,True,False,False,2025.0
43598,28805,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,71,2025,,,,,,,,,,,,
68852,28860,07.28.343,AU,Infantil Mujer,NO,0.0,0.0,0.0,0,0.0,13,2023,,,,,,,,,,,,
58970,28806,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,41,2022,,,,,,,,,,,,
6700,28031,07.28.125,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,67,2024,,,,,,,,,,,,
30780,28032,07.28.223,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,51,2022,,,,,,,,,,,,
48166,28805,07.28.431,AU,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,18,2020,,,,,,,,,,,,
63487,28860,07.28.343,AU,Infantil VarÃ³n,NO,0.0,0.0,0.0,0,0.0,7,2020,,,,,,,,,,,,
51842,28691,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,55,2024,,,,,,,,,,,,
46593,28260,07.28.423,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,78,2022,,,,,,,,,,,,
68213,28260,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,43,2023,,,,,,,,,,,,
15327,28100,07.28.370,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,64,2025,,,,,,,,,,,,
49867,28440,07.28.056,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,50,2020,,,,,,,,,,,,
41430,28034,07.28.017,D,Mayor VarÃ³n,NO,1.0,0.0,0.0,1,0.0,37,2020,Esquí de montaña/Splitboard,Pirineos,-,Tropiezos (caída al mismo nivel),Leve,4.0,0.0,False,True,False,False,2020.0
72796,28022,07.28.021,B,Mayor Mujer,NO,0.0,0.0,0.0,0,1.0,59,2023,,,,,,,,,,,,
36400,28034,07.28.395,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,33,2020,,,,,,,,,,,,
36333,28009,07.28.370,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,65,2025,,,,,,,,,,,,
41505,28342,07.28.437,B,Mayor VarÃ³n,NO,1.0,0.0,0.0,1,2.0,47,2025,Montañismo/Progresión por terreno abrupto,Yelmo,MADRID,Tropiezos (caída al mismo nivel),Leve,1.0,1.0,True,False,False,False,2023.0
25138,28041,07.28.370,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,47,2022,,,,,,,,,,,,
19934,28054,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,70,2024,,,,,,,,,,,,
59629,28791,07.28.379,AU,Infantil Mujer,NO,0.0,0.0,0.0,0,0.0,11,2020,,,,,,,,,,,,
4820,28923,07.28.345,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,53,2021,,,,,,,,,,,,
3090,28801,07.28.088,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,66,2024,,,,,,,,,,,,
3002,28922,07.28.000,C,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,52,2021,Senderismo,Pico de la Peñota,MADRID,Tropiezos (caída al mismo nivel),Leve,1.0,1.0,False,True,False,False,2022.0
17012,28490,07.28.370,C,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,64,2020,Carreras por montaña,La Barranca,MADRID,Tropiezos (caída al mismo nivel),Leve,0.0,0.0,True,False,False,False,2021.0
28251,28702,07.28.000,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,40,2025,,,,,,,,,,,,
53196,28039,07.28.303,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,65,2021,,,,,,,,,,,,
69569,28015,07.28.223,C,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,52,2022,,,,,,,,,,,,
43440,28039,07.28.370,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,1.0,39,2020,,,,,,,,,,,,
41430,28034,07.28.017,D,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,1.0,40,2023,Escalada en hielo,Oppdal,-,Competición Corte en el labio,Leve,2.0,0.0,False,True,False,False,2024.0
74154,28042,07.28.021,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,62,2024,,,,,,,,,,,,
24138,28411,07.28.000,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,37,2022,,,,,,,,,,,,
33200,28223,07.28.000,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,71,2021,,,,,,,,,,,,
75581,28850,07.28.000,A,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,51,2024,,,,,,,,,,,,
12018,28015,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,48,2022,,,,,,,,,,,,
66926,8036,07.28.000,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,26,2021,,,,,,,,,,,,
21537,28860,07.28.343,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,69,2023,,,,,,,,,,,,
58753,45641,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,63,2023,,,,,,,,,,,,
57146,28012,07.28.303,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,67,2020,,,,,,,,,,,,
51554,28047,07.28.000,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,24,2021,,,,,,,,,,,,
61718,28041,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,27,2022,,,,,,,,,,,,
34788,28905,07.28.009,B,Mayor Mujer,NO,0.0,0.0,0.0,0,1.0,59,2022,Senderismo,Madrid,MADRID,Caída de piedras,Leve,0.0,1.0,False,True,False,False,2020.0
67482,28770,07.28.000,A,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,53,2022,,,,,,,,,,,,
56626,28863,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,24,2024,,,,,,,,,,,,
9039,28905,07.28.223,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,45,2025,,,,,,,,,,,,
6745,28260,07.28.223,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,59,2023,,,,,,,,,,,,
20885,28224,07.28.327,C,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,54,2020,,,,,,,,,,,,
63680,28042,07.28.017,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,68,2024,,,,,,,,,,,,
27169,28043,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,68,2024,,,,,,,,,,,,
59366,28023,07.28.370,B,Infantil VarÃ³n,NO,0.0,0.0,0.0,0,0.0,9,2021,,,,,,,,,,,,
68276,28024,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,56,2023,,,,,,,,,,,,
61343,28030,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,32,2021,,,,,,,,,,,,
34070,28941,07.28.345,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,42,2025,,,,,,,,,,,,
66566,8960,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,2.0,56,2021,,,,,,,,,,,,
67400,28760,07.28.000,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,57,2023,,,,,,,,,,,,
6160,28409,07.28.424,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,62,2022,,,,,,,,,,,,
60280,28330,07.28.350,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,34,2021,,,,,,,,,,,,
26788,28005,07.28.000,C,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,46,2023,,,,,,,,,,,,
18165,28047,07.28.971,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,2.0,33,2024,Rocódromo,Rocodromo Roc30,MADRID,Problemas físicos,Leve,1.0,1.0,True,False,False,False,2021.0
34720,28039,07.28.411,C,TÃ©cnico VarÃ³n,NO,0.0,0.0,0.0,0,0.0,47,2023,,,,,,,,,,,,
6781,28032,07.28.012,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,49,2024,,,,,,,,,,,,
5299,28814,07.28.343,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,52,2020,,,,,,,,,,,,
53172,28100,07.28.313,A,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,64,2020,,,,,,,,,,,,
56491,28938,07.28.383,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,47,2022,,,,,,,,,,,,
35081,22467,07.28.370,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,72,2025,,,,,,,,,,,,
12105,28902,07.28.000,B,TÃ©cnico VarÃ³n,NO,0.0,0.0,0.0,0,0.0,43,2021,,,,,,,,,,,,
697,28053,07.28.370,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,1.0,50,2024,Esquí Alpino,Baqueira Beret,LLEIDA,Tropiezos (caída al mismo nivel),Leve,3.0,0.0,False,True,False,False,2023.0
5557,28032,07.28.017,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,56,2022,,,,,,,,,,,,
73381,28054,07.28.340,A,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,66,2023,,,,,,,,,,,,
51595,28035,07.28.000,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,45,2021,,,,,,,,,,,,
31365,28039,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,49,2020,,,,,,,,,,,,
60246,28039,07.28.411,B,Mayor Mujer,NO,1.0,0.0,0.0,1,3.0,35,2022,Senderismo,Madrid,MADRID,Tropiezos (caída al mismo nivel),Leve,2.0,1.0,False,True,False,False,2021.0
72160,28032,07.28.303,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,51,2024,,,,,,,,,,,,
30329,28012,07.28.000,C,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,47,2023,,,,,,,,,,,,
64179,28005,07.28.000,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,39,2022,,,,,,,,,,,,
7129,28280,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,46,2021,,,,,,,,,,,,
78353,28914,07.28.000,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,54,2025,,,,,,,,,,,,
47960,28224,07.28.010,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,70,2020,,,,,,,,,,,,
2552,28043,07.28.370,C,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,48,2020,,,,,,,,,,,,
52875,28804,07.28.437,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,48,2021,,,,,,,,,,,,
60516,28840,07.28.000,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,47,2023,,,,,,,,,,,,
6205,28701,07.28.000,C,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,61,2023,,,,,,,,,,,,
45236,28047,07.28.370,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,42,2022,,,,,,,,,,,,
66455,28042,07.28.340,B,Mayor VarÃ³n,NO,1.0,0.0,0.0,1,1.0,37,2021,Escalada en escuela,la pedriza,MADRID,Problemas físicos,Leve,5.0,1.0,True,True,False,False,2021.0
63481,7010,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,46,2022,,,,,,,,,,,,
44397,28100,07.28.475,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,43,2022,,,,,,,,,,,,
57524,28042,07.28.000,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,48,2021,,,,,,,,,,,,
71063,28046,07.28.000,A6,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,51,2022,,,,,,,,,,,,
14349,28042,07.28.088,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,1.0,58,2020,,,,,,,,,,,,
61900,28034,07.28.467,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,31,2023,,,,,,,,,,,,
63529,28941,07.28.370,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,29,2022,Carreras por montaña,Almagro,CIUDAD REAL,Tropiezos (caída al mismo nivel),Leve,1.0,1.0,True,False,False,False,2024.0
46333,28400,07.28.421,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,34,2021,,,,,,,,,,,,
71850,8028,07.28.021,B,Mayor VarÃ³n,NO,0.0,0.0,0.0,0,0.0,54,2025,,,,,,,,,,,,
69365,28015,07.28.223,B,Mayor Mujer,NO,0.0,0.0,0.0,0,0.0,30,2022,,,,,,,,,,,,
